t,qw,qx,qy,qz
2.6680000,0.7543127,0.3204269,-0.0468297,0.5710919
2.6880000,0.7397162,0.3145982,-0.0509740,0.5926631
2.7040000,0.7276293,0.3097538,-0.0542147,0.6096466
2.7240000,0.7120620,0.3034651,-0.0581845,0.6304690
2.7400000,0.6992655,0.2982661,-0.0613171,0.6467653
2.7680000,0.6760817,0.2889028,-0.0666980,0.6745369
2.7880000,0.6589404,0.2819801,-0.0704670,0.6937717
2.8080000,0.6413431,0.2748418,-0.0741737,0.7124881
2.8240000,0.6269495,0.2689676,-0.0770912,0.7270816
2.8440000,0.6086188,0.2614087,-0.0806768,0.7448087
2.8640000,0.5899286,0.2535935,-0.0841890,0.7619624
2.8840000,0.5708785,0.2455209,-0.0876150,0.7785505
2.9080000,0.5475318,0.2355003,-0.0915920,0.7977214
2.9280000,0.5276780,0.2268793,-0.0947873,0.8130788
2.9480000,0.5074834,0.2180128,-0.0978645,0.8278608
2.9640000,0.4910875,0.2107477,-0.1002360,0.8392683
2.9920000,0.4619792,0.1976545,-0.1041957,0.8582839
3.0160000,0.4365833,0.1860707,-0.1073746,0.8736380
3.0360000,0.4150960,0.1762089,-0.1098816,0.8857605
3.0560000,0.3933039,0.1662217,-0.1123017,0.8972573
3.0760000,0.3712216,0.1561149,-0.1146293,0.9081205
3.0960000,0.3488626,0.1458842,-0.1168564,0.9183449
3.1120000,0.3308334,0.1375955,-0.1185632,0.9260451
3.1280000,0.3126779,0.1292227,-0.1201948,0.9333206
3.1480000,0.2897829,0.1186459,-0.1221182,0.9418260
3.1640000,0.2713170,0.1100991,-0.1235556,0.9481557
3.1840000,0.2480592,0.0993153,-0.1252220,0.9554698
3.2040000,0.2246150,0.0884315,-0.1267405,0.9621148
3.2240000,0.2009984,0.0774584,-0.1281080,0.9680848
3.2440000,0.1772260,0.0664040,-0.1293205,0.9733744
3.2640000,0.1533536,0.0552802,-0.1303637,0.9779735
3.2840000,0.1293561,0.0440984,-0.1312386,0.9818853
3.3000000,0.1100814,0.0351159,-0.1318104,0.9845176
3.3160000,0.0907487,0.0261039,-0.1322656,0.9867062
3.3360000,0.0665010,0.0148027,-0.1326686,0.9888162
3.3560000,0.0421916,0.0034661,-0.1328800,0.9902276
3.3760000,0.0178374,-0.0078965,-0.1328966,0.9909379
3.3920000,0.0016561,0.0169971,0.1327660,-0.9910003
3.4120000,0.0259924,0.0283725,0.1324460,-0.9904431
3.4320000,0.0503347,0.0397350,0.1320165,-0.9891710
3.4560000,0.0795226,0.0533555,0.1313319,-0.9867022
3.4800000,0.1086780,0.0669613,0.1304262,-0.9832061
3.5000000,0.1328795,0.0782836,0.1294638,-0.9795171
3.5200000,0.1570048,0.0895879,0.1283171,-0.9751196
3.5360000,0.1762357,0.0986148,0.1272596,-0.9710927
3.5560000,0.2001735,0.1098676,0.1257573,-0.9654247
3.5760000,0.2239800,0.1210811,0.1240535,-0.9590532
3.5960000,0.2476400,0.1322501,0.1221478,-0.9519791
3.6160000,0.2711227,0.1433700,0.1200376,-0.9442079
3.6320000,0.2898003,0.1522198,0.1182082,-0.9374816
3.6480000,0.3083496,0.1610255,0.1162443,-0.9303110
3.6640000,0.3267612,0.1697805,0.1141426,-0.9226989
3.6840000,0.3495698,0.1806430,0.1113117,-0.9125671
3.7080000,0.3766469,0.1935375,0.1076106,-0.8995001
3.7280000,0.3989307,0.2041506,0.1042641,-0.8878659
3.7480000,0.4209248,0.2146408,0.1007014,-0.8755632
3.7720000,0.4469352,0.2270640,0.0962171,-0.8599030
3.7880000,0.4640239,0.2352309,0.0930824,-0.8489311
3.8080000,0.4850790,0.2452856,0.0889747,-0.8346357
3.8320000,0.5098835,0.2570891,0.0837385,-0.8166467
3.8520000,0.5301576,0.2666778,0.0790985,-0.8009740
3.8720000,0.5500315,0.2760120,0.0741938,-0.7847152
3.8880000,0.5656544,0.2832811,0.0700879,-0.7712811
3.9080000,0.5848286,0.2920986,0.0647316,-0.7539653
3.9320000,0.6073127,0.3022524,0.0579838,-0.7324293
3.9480000,0.6219723,0.3087429,0.0532984,-0.7176263
3.9640000,0.6363631,0.3149996,0.0484740,-0.7024724
3.9880000,0.6574152,0.3239296,0.0409725,-0.6791142
4.0040000,0.6710935,0.3295634,0.0358121,-0.6631282
4.0240000,0.6877866,0.3362305,0.0292062,-0.6426863
4.0440000,0.7040214,0.3424671,0.0224467,-0.6217446
4.0640000,0.7197896,0.3482610,0.0155548,-0.6003127
4.0800000,0.7320540,0.3525819,0.0099738,-0.5828237
4.1000000,0.7469200,0.3576343,0.0029662,-0.5605349
4.1200000,0.7612354,0.3622741,-0.0040904,-0.5378303
4.1360000,0.7723016,0.3656833,-0.0097559,-0.5193561
4.1560000,0.7856514,0.3695486,-0.0168537,-0.4958846
4.1760000,0.7984558,0.3729634,-0.0239558,-0.4720093
4.1960000,0.8107061,0.3759217,-0.0310438,-0.4477441
4.2240000,0.8269060,0.3792951,-0.0409096,-0.4131441
4.2440000,0.8377796,0.3811573,-0.0479004,-0.3880078
4.2600000,0.8460515,0.3823210,-0.0534470,-0.3676561
4.2760000,0.8539383,0.3831919,-0.0589480,-0.3471002
4.2960000,0.8632457,0.3838654,-0.0657547,-0.3211393
4.3200000,0.8735915,0.3840692,-0.0738030,-0.2896237
4.3400000,0.8815150,0.3837406,-0.0803959,-0.2630798
4.3640000,0.8901686,0.3827384,-0.0881730,-0.2309474
4.3800000,0.8954039,0.3817314,-0.0932662,-0.2093665
4.4000000,0.9013211,0.3801480,-0.0995195,-0.1822187
4.4160000,0.9055536,0.3786067,-0.1044351,-0.1603836
4.4320000,0.9093417,0.3768123,-0.1092711,-0.1384560
4.4520000,0.9134508,0.3742062,-0.1151996,-0.1109343
4.4800000,0.9180341,0.3698625,-0.1232817,-0.0722266
4.5000000,0.9204689,0.3662500,-0.1289138,-0.0444878
4.5240000,0.9224689,0.3613482,-0.1354784,-0.0111426
4.5440000,0.9233682,0.3567862,-0.1407722,0.0166709
4.5640000,0.9235703,0.3517890,-0.1458902,0.0444802
4.5840000,0.9230755,0.3463615,-0.1508129,0.0722546
4.6040000,0.9218863,0.3405056,-0.1555252,0.0999675
4.6200000,0.9204339,0.3355189,-0.1591286,0.1220924
4.6440000,0.9174257,0.3275398,-0.1642397,0.1551551
4.6600000,0.9148687,0.3218953,-0.1674386,0.1770959
4.6760000,0.9118704,0.3160010,-0.1704622,0.1989430
4.7000000,0.9065434,0.3067092,-0.1746580,0.2315235
4.7200000,0.9013483,0.2985683,-0.1778312,0.2584654
4.7400000,0.8954642,0.2900831,-0.1807024,0.2852058
4.7600000,0.8888799,0.2812959,-0.1832955,0.3117177
4.7800000,0.8815813,0.2722538,-0.1856372,0.3379810
4.8000000,0.8735813,0.2629507,-0.1877176,0.3639707
4.8200000,0.8648885,0.2533813,-0.1895242,0.3896747
4.8400000,0.8555145,0.2435400,-0.1910463,0.4150717
4.8560000,0.8475470,0.2354631,-0.1920552,0.4351275
4.8800000,0.8348558,0.2229975,-0.1932118,0.4647118
4.9000000,0.8235713,0.2123270,-0.1938352,0.4889534
4.9160000,0.8140896,0.2036131,-0.1941105,0.5080560
4.9320000,0.8042109,0.1947483,-0.1941856,0.5268869
4.9560000,0.7886545,0.1811936,-0.1939219,0.5546055
4.9760000,0.7750359,0.1696790,-0.1933642,0.5771817
4.9960000,0.7608240,0.1579836,-0.1924982,0.5992766
